ev_id,origin_time_utc,evla,evlo,evdep_km,mag,n_picks
618686277,2020-07-19T02:15:11.40,-10.8480,93.5906,2.2,,17
618687309,2020-07-20T06:00:41.07,-4.8095,134.0841,28.0,,10
618688582,2020-07-21T20:56:25.34,-20.8772,-178.5231,615.9,5.6,56
618688606,2020-07-22T08:13:29.34,55.2165,-159.3618,39.6,6.5,33
618688608,2020-07-22T06:12:43.49,55.0056,-158.5615,22.5,7.7,53
618688914,2020-07-22T11:02:11.70,54.8449,-160.6127,39.8,5.5,22
618690538,2020-07-22T20:07:18.73,33.0824,86.8385,10.0,6.3,43
618690544,2020-07-22T21:39:58.37,55.2210,-159.2785,36.0,5.8,34
618690754,2020-07-23T11:08:37.68,55.2207,-159.5902,40.3,,15
618695581,2020-07-24T03:07:07.95,54.8273,-160.7288,40.1,5.5,20
618697067,2020-07-24T12:46:24.10,4.1087,122.8139,589.8,,12
618697068,2020-07-24T13:24:38.81,54.9012,-160.7796,43.0,5.6,21
618698079,2020-07-26T01:53:45.68,-14.5738,166.6806,46.9,,13
618698084,2020-07-26T03:12:27.26,6.3257,126.9184,99.7,5.8,16
618699608,2020-07-27T17:32:44.69,8.9465,126.3167,48.1,6.1,16
618699800,2020-07-27T19:34:37.64,54.9661,-160.4145,41.5,,30
618699807,2020-07-27T23:37:04.71,-6.1737,70.2774,14.1,,10
618699827,2020-07-28T08:03:43.46,54.7831,-161.2281,41.0,5.8,36
618700886,2020-07-28T12:42:51.37,54.8923,-160.3730,40.8,,13
618702374,2020-07-29T09:12:16.32,55.0004,-160.4241,44.7,5.7,28
618703215,2020-07-29T13:09:10.23,54.6977,-161.0352,40.2,,19
618704357,2020-07-30T16:08:18.69,54.9275,-158.2546,20.4,,24
618704370,2020-07-30T02:51:19.17,-3.4640,131.1245,16.4,,15
618704411,2020-07-30T19:16:51.97,-19.1448,-173.3364,29.4,5.6,28
618707493,2020-08-01T17:09:01.85,7.2166,124.1646,487.5,6.1,25
618707499,2020-08-01T19:08:50.90,-3.2834,148.8356,17.5,5.7,23
618707500,2020-08-01T19:22:07.55,-3.2286,148.7023,18.0,5.9,33
618707628,2020-08-02T09:29:58.23,-3.2509,149.0172,10.0,5.7,17
618707640,2020-08-02T14:15:48.13,-5.0763,145.3973,130.1,,28
618708218,2020-08-04T09:37:36.79,38.1955,38.7241,5.6,5.6,17
618708486,2020-08-04T16:31:18.72,-12.4734,166.7375,78.7,5.7,25
618708648,2020-08-04T23:51:10.80,-1.7541,100.2233,51.1,,13
618708673,2020-08-05T08:27:13.19,-9.7472,119.1142,23.5,,17
618709663,2020-08-05T16:17:41.49,54.5614,-161.0639,7.0,,22
618709670,2020-08-05T12:05:36.73,-16.1742,168.1011,188.1,5.9,52
618709711,2020-08-05T21:12:06.14,-4.6459,143.6781,96.4,,12
618710835,2020-08-07T03:00:40.84,-3.8552,126.2541,19.5,,11
618711294,2020-08-08T16:57:05.32,0.9297,124.7654,144.6,,19
618711318,2020-08-08T10:45:50.58,-9.7335,118.9691,16.4,5.6,14
618711320,2020-08-08T10:17:49.36,-9.6655,119.0747,10.0,,16
618711322,2020-08-08T12:52:59.63,54.9042,-158.4462,24.9,,24
618711327,2020-08-08T14:42:54.04,54.7806,-161.2342,42.4,5.8,29
618711497,2020-08-09T14:57:53.55,55.1464,-158.1113,27.4,5.7,21
618714189,2020-05-06T13:53:56.33,-6.8248,129.8536,111.8,6.5,47
618720639,2020-08-12T10:26:21.09,1.3565,126.3937,45.0,,16
618724467,2020-08-12T22:40:46.62,27.9800,65.9555,16.9,5.5,22
618724554,2020-08-13T06:40:00.32,53.4044,-163.6748,26.0,5.6,32
618726300,2020-08-14T09:11:43.12,-24.3863,-175.7954,13.5,,20
618727397,2020-08-15T07:12:12.31,-9.3181,114.0250,59.5,5.5,14
618727593,2020-08-15T10:53:18.07,4.6544,125.5829,150.9,,16
618727774,2020-08-16T06:26:31.25,1.6943,122.9719,429.0,,20
618727777,2020-08-16T07:22:29.99,6.4315,123.5139,589.8,5.5,14
618728047,2020-08-16T19:06:53.34,-3.2476,130.6862,22.1,,13
618728048,2020-08-16T20:05:52.31,51.4583,-171.1416,16.0,5.5,25
618737550,2020-08-18T18:28:33.01,55.0476,-158.0553,24.6,,24
618740201,2020-08-18T22:23:58.66,-4.2926,101.1709,14.8,7.2,45
618740203,2020-08-18T22:29:24.26,-4.2209,101.2185,25.7,7.2,44
618741828,2020-08-19T19:45:58.61,54.9288,-160.4361,44.4,5.5,26
618743690,2020-08-21T04:09:52.34,-6.7246,123.5068,643.2,6.5,58
618745129,2020-08-22T00:39:35.91,-4.0646,101.0238,25.1,5.7,33
